,symbol,id
867,مانی,61265100181977543
868,سباقر,61310599391543522
869,دابور,61332057061846617
870,ولکار,61469668095573716
871,بازبیمه,61483657213051835
872,غشصفا,61506294208022391
873,سلار,61664227282090067
874,درخشان,61805666737517582
875,پاسارگاد,61920683599787147
876,غپونه,61978776664766359
877,دارا,62012736978844991
878,سیمانو,62069100905581368
879,بکابل,62107151670661969
880,دارا یکم,62235397452612911
881,تکشا,62258804563636993
882,کگاز,62346804681275278
883,غکورش,62404730109947970
884,سایرا,62558705479545830
885,اوج,62575434414985179
886,ونیرو,62603302940123327
887,ساحل,62708526880913292
888,پاکشو,62786156501584862
889,هیوا,62845384302495432
890,بالبر,62952165421099192
891,کی بی سی,62977319271289925
892,دشیری,63084741752814852
893,ثنور,63315013743060811
894,لابسا,63363116407864462
895,قنیشا,63380098535169030
896,ثشاهد,63481599728522324
897,کقزوی,63499217872110599
898,هامون,63514093298304639
899,پاسا,63580313877463104
900,حبندر,63704201144621295
901,اپرداز,63830424809501048
902,رخش,63886404454477678
903,نوآور,63888998422355039
904,خشرق,63915926161403347
905,وتجارت,63917421733088077
906,زرفام2,63946543522627720
907,فنرژی,63965059137798192
908,ساذری,64155926828410021
909,شتاب,64216772923447100
910,ساینا,64298008532791199
911,سدبیر,64341992373049080
912,چفیبر,64358061873294912
913,فجوش,64485827086284311
914,بپیوند,64619251116188373
915,شمیم,64659064562132185
916,نطرین,64699417405634265
917,ثعتما,64707090254488560
918,فاخر2,64819278905724553
919,ویستا2,64829187602318351
920,خکاوه,64842837716888827
921,غگلستا,64843936383937546
922,سرو,64942549055019553
923,سپر4,64968461315419199
924,وکبهمن,64973252728260903
925,کاردان,65023851436340574
926,شفن,65122215875355555
927,خزانه ملت,65190029034514887
928,فردا,65249046611427924
929,سکرد,65321970913593427
930,نبابک,65378630011538741
931,زر2,65413691615306869
932,لخزر,65414507129586385
933,ابتکار,65473703162196532
934,شزنگ,65490886290565185
935,مدیر,65576885779918210
936,آسان,65640021232361587
937,آواک,65663173216130783
938,کتوکا,65671173927025645
939,مداران,65999092673039059
940,فافزا,66021783818850713
941,فیروزه,66036975502302203
942,رایکا,66105959479616770
943,تشتاد,66127247173352975
944,دماوند,66142616039907394
945,شتولی,66210395067138534
946,سیمانیا,66219723709595228
947,طلوع2,66220730726109607
948,وبملت2,66264163366013063
949,سبجنو,66295665969375744
950,توسن,66315581735594751
951,دی,66416853783916493
952,ودانا,66424163876658304
953,ددام,66450490505950110
954,فوکا,66514709341259550
955,گکوثر,66599109405217136
956,آساس,66682662312253625
957,ثمین,66721204145017523
958,دتوزیع,66726992874614788
959,فباهنر,66772024744156373
960,وگردش,66790687790437196
961,اعتماد,66818022341772870
962,ولانا,66830065858417081
963,قپیرا,67030488744129337
964,رمپنا,67126881188552864
965,موج,67141987086032267
966,زنگان,67170215467608124
967,کهمدا,67206358287598044
968,وامیر,67213778593531096
969,خودران,67261627618765635
970,نفیس2,67269004688649567
971,سخزر,67327029014085707
972,ونیرو2,67422740056562475
973,جوانه کوچک,67455383896188985
974,پادا,67522512921942106
975,پالایش,67675656072510693
976,کماسه,67690708346979840
977,دانیک,67717913151786055
978,کاریس2,67858991327059184
979,اخشان,67868738676326187
980,دارو,67988012428906654
